text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
‐,275.7,279.372,800.1597,14272.1597,812.1597,True,12.0,3.6720000000000255,ltr,JFHFGN+Calibri,12.0
6,282.06,288.144,800.1597,14272.1597,812.1597,True,12.0,6.084000000000003,ltr,JFHFGO+Calibri,12.0
‐,293.6976,297.36960000000005,800.1597,14272.1597,812.1597,True,12.0,3.6720000000000255,ltr,JFHFGN+Calibri,12.0
集荷・契約・販売数量（東京から鳥取まで）,49.92,217.00574292,42.93915000000004,13514.93915,52.381650000000036,True,9.442499999999995,167.08574291999997,ltr,JFGADH+MS-PGothic,9.442499999999995
契約比率,250.62,283.33927159999996,74.38189,13546.38189,82.56538999999998,True,8.183499999999981,32.719271599999956,ltr,JFGADH+MS-PGothic,8.183499999999981
販売比,362.64040190000003,386.89300000000003,74.38189,13546.38189,82.56538999999998,True,8.183499999999981,24.2525981,ltr,JFGADH+MS-PGothic,8.183499999999981
①,151.26,158.1806,95.144544,13567.144544,102.06914399999994,True,6.924599999999941,6.920600000000007,ltr,JFGADH+MS-PGothic,6.924599999999941
②,207.8393653,214.7599653,95.144544,13567.144544,102.06914399999994,True,6.924599999999941,6.920600000000007,ltr,JFGADH+MS-PGothic,6.924599999999941
②/①,258.17911764,275.83979678,95.144544,13567.144544,102.06914399999994,True,6.924599999999941,17.660679139999957,ltr,JFGADH+MS-PGothic,6.924599999999941
③,319.85896514,326.77956514,95.144544,13567.144544,102.06914399999994,True,6.924599999999941,6.920599999999979,ltr,JFGADH+MS-PGothic,6.924599999999941
③/①,370.19871748,386.89300000000003,95.144544,13567.144544,102.06914399999994,True,6.924599999999941,16.69428252,ltr,JFGADH+MS-PGothic,6.924599999999941
(千玄米ﾄﾝ),149.99975874,181.69195438,104.62432139999999,13576.6243214,111.54892139999993,True,6.924599999999941,31.692195639999994,ltr,JFGADH+MS-PGothic,6.924599999999941
(千玄米ﾄﾝ),205.98326038,237.67545601999996,104.62432139999999,13576.6243214,111.54892139999993,True,6.924599999999941,31.692195639999966,ltr,JFGADH+MS-PGothic,6.924599999999941
(千玄米ﾄﾝ),317.9461113,349.6424593,104.62432139999999,13576.6243214,111.54892139999993,True,6.924599999999941,31.696348,ltr,JFGADH+MS-PGothic,6.924599999999941
東,49.92,58.099000000000004,115.30188999999996,13587.30189,123.48538999999994,True,8.183499999999981,8.179000000000002,ltr,JFGADH+MS-PGothic,8.183499999999981
京,63.7793155,71.9583155,115.30188999999996,13587.30189,123.48538999999994,True,8.183499999999981,8.178999999999995,ltr,JFGADH+MS-PGothic,8.183499999999981
−,172.02,181.4571,114.69915000000003,13586.69915,124.14165000000003,True,9.442499999999995,9.437099999999987,ltr,JFGADH+MS-PGothic,9.442499999999995
−,227.99993349,237.43703348999998,114.69915000000003,13586.69915,124.14165000000003,True,9.442499999999995,9.437099999999987,ltr,JFGADH+MS-PGothic,9.442499999999995
−,283.97986698,293.41696698,114.69915000000003,13586.69915,124.14165000000003,True,9.442499999999995,9.437099999999987,ltr,JFGADH+MS-PGothic,9.442499999999995
−,339.95980047,349.39690047,114.69915000000003,13586.69915,124.14165000000003,True,9.442499999999995,9.437099999999987,ltr,JFGADH+MS-PGothic,9.442499999999995
神奈川,49.92,74.4790833,126.64188999999999,13598.64189,134.82538999999997,True,8.183499999999981,24.559083299999998,ltr,JFGADH+MS-PGothic,8.183499999999981
2.5,166.32,177.99746753999997,125.97915,13597.97915,135.42165,True,9.442499999999995,11.67746753999998,ltr,JFGADH+MS-PGothic,9.442499999999995
2.2,222.35938721999997,233.97740102999995,125.97915,13597.97915,135.42165,True,9.442499999999995,11.61801380999998,ltr,JFGADH+MS-PGothic,9.442499999999995
90%,278.338377,293.13763722,125.97915,13597.97915,135.42165,True,9.442499999999995,14.799260220000008,ltr,JFGADH+MS-PGothic,9.442499999999995
2.2,334.31925419999993,345.93726800999997,125.97915,13597.97915,135.42165,True,9.442499999999995,11.618013810000036,ltr,JFGADH+MS-PGothic,9.442499999999995
山,49.92,58.099000000000004,137.9818899999999,13609.98189,146.1653899999999,True,8.183499999999981,8.179000000000002,ltr,JFGADH+MS-PGothic,8.183499999999981
梨,63.7793155,71.9583155,137.9818899999999,13609.98189,146.1653899999999,True,8.183499999999981,8.178999999999995,ltr,JFGADH+MS-PGothic,8.183499999999981
6.2,166.32,177.99746753999997,137.31915000000004,13609.31915,146.76165000000003,True,9.442499999999995,11.67746753999998,ltr,JFGADH+MS-PGothic,9.442499999999995
5.5,222.35938721999997,233.97740102999995,137.31915000000004,13609.31915,146.76165000000003,True,9.442499999999995,11.61801380999998,ltr,JFGADH+MS-PGothic,9.442499999999995
89%,278.338377,293.13763722,137.31915000000004,13609.31915,146.76165000000003,True,9.442499999999995,14.799260220000008,ltr,JFGADH+MS-PGothic,9.442499999999995
5.5,334.31925419999993,345.93726800999997,137.31915000000004,13609.31915,146.76165000000003,True,9.442499999999995,11.618013810000036,ltr,JFGADH+MS-PGothic,9.442499999999995
コシヒカリ,62.52,95.080599,149.32188999999994,13621.32189,157.50538999999992,True,8.183499999999981,32.560599,ltr,JFGADH+MS-PGothic,8.183499999999981
5.3,166.32,177.99746753999997,148.65915000000007,13620.65915,158.10165000000006,True,9.442499999999995,11.67746753999998,ltr,JFGADH+MS-PGothic,9.442499999999995
4.8,222.35938721999997,233.97740102999995,148.65915000000007,13620.65915,158.10165000000006,True,9.442499999999995,11.61801380999998,ltr,JFGADH+MS-PGothic,9.442499999999995
90%,278.338377,293.13763722,148.65915000000007,13620.65915,158.10165000000006,True,9.442499999999995,14.799260220000008,ltr,JFGADH+MS-PGothic,9.442499999999995
4.8,334.31925419999993,345.93726800999997,148.65915000000007,13620.65915,158.10165000000006,True,9.442499999999995,11.618013810000036,ltr,JFGADH+MS-PGothic,9.442499999999995
あさひの夢,62.52,100.27917140000001,160.6018899999999,13632.60189,168.7853899999999,True,8.183499999999981,37.75917140000001,ltr,JFGADH+MS-PGothic,8.183499999999981
0.2,166.32,177.99746753999997,159.99915,13631.99915,169.44164999999998,True,9.442499999999995,11.67746753999998,ltr,JFGADH+MS-PGothic,9.442499999999995
0.1,222.35938721999997,233.97740102999995,159.99915,13631.99915,169.44164999999998,True,9.442499999999995,11.61801380999998,ltr,JFGADH+MS-PGothic,9.442499999999995
51%,278.338377,293.13763722,159.99915,13631.99915,169.44164999999998,True,9.442499999999995,14.799260220000008,ltr,JFGADH+MS-PGothic,9.442499999999995
0.1,334.31925419999993,345.93726800999997,159.99915,13631.99915,169.44164999999998,True,9.442499999999995,11.618013810000036,ltr,JFGADH+MS-PGothic,9.442499999999995
長,49.92,58.099000000000004,171.94188999999994,13643.94189,180.12538999999992,True,8.183499999999981,8.179000000000002,ltr,JFGADH+MS-PGothic,8.183499999999981
野,63.7793155,71.9583155,171.94188999999994,13643.94189,180.12538999999992,True,8.183499999999981,8.178999999999995,ltr,JFGADH+MS-PGothic,8.183499999999981
68.8,161.28,177.99782265,171.33915000000002,13643.33915,180.78165,True,9.442499999999995,16.717822649999988,ltr,JFGADH+MS-PGothic,9.442499999999995
68.5,217.31938721999998,233.97681242999997,171.33915000000002,13643.33915,180.78165,True,9.442499999999995,16.657425209999985,ltr,JFGADH+MS-PGothic,9.442499999999995
100%,273.29837699999996,293.13799233,171.33915000000002,13643.33915,180.78165,True,9.442499999999995,19.839615330000015,ltr,JFGADH+MS-PGothic,9.442499999999995
56.0,329.27925419999997,345.93762311999996,171.33915000000002,13643.33915,180.78165,True,9.442499999999995,16.658368919999987,ltr,JFGADH+MS-PGothic,9.442499999999995
コシヒカリ,62.52,95.080599,183.28188999999998,13655.28189,191.46538999999996,True,8.183499999999981,32.560599,ltr,JFGADH+MS-PGothic,8.183499999999981
54.2,161.28,177.99782265,182.67915000000005,13654.67915,192.12165000000005,True,9.442499999999995,16.717822649999988,ltr,JFGADH+MS-PGothic,9.442499999999995
